operator,tail_number,aircraft_type,category,engines,cargo_pax,seats,base_icao,crew,cruise_kts,range_nm,max_payload_lbs,mtow_lbs,fet_status,door_type,door_w_in,door_h_in,cabin_l_ft,cabin_w_ft,cabin_h_ft,cabin_vol_cuft,trips_logged,avg_op_per_nm_circuit,med_assumed_op_per_nm,est_op_per_hr,liability_limit,hull_value,notes,spec_source
45 NORTH AVIATION,TBD,TBM,Turboprop,Single Turboprop,,5,KRIC,,290,1300,1300,6579,FET applies,Pax door,27,45,13.3,4,4.1,123,1,7.2,10.84,3145,,,,published typical config — verify per tail
45 NORTH AVIATION,TBD,King Air 200,Turboprop,Multi Turboprop,,8,KRIC,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,1,7.2,13.32,3596,,,,published typical config — verify per tail
"ACE TRANSPORT SERVICE, INC.",N825SD,King Air 90,Turboprop,Multi Turboprop,,6,KILG,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,1,13.83,13.83,3111,,,,published typical config — verify per tail
"ACE TRANSPORT SERVICE, INC.",N15TV,Cessna 310,Piston,Multi Piston,,5,KILG,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,1,9.06,9.06,,,,,published typical config — verify per tail
"ACE TRANSPORT SERVICE, INC.",N159FM,Hawker 800,Midsize Jet,Turbine,,8,KILG,,430,2500,2200,28000,FET applies,Airstair,27,51,21.3,6,5.7,600,,,,,,,,published typical config — verify per tail
"AeroDynamic Jets, LLC",N798SB,Challenger 300,Super-Mid Jet,Turbine,,9,KPVU,,460,3000,3500,38850,FET applies,Airstair,30,62,28.6,7.2,6.1,860,,,,,,,,published typical config — verify per tail
"AeroDynamic Jets, LLC",N25F,Cessna 182,Piston,Single Piston,,3,KPVU,,130,800,900,3100,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,41,9.1,3.5,4,75,,,,,,,,published typical config — verify per tail
"AeroDynamic Jets, LLC",N125DG,Citation CJ3,Light Jet,Turbine,,7,KPVU,,415,1800,2000,13870,FET applies,Airstair,24,51,15.7,4.8,4.8,290,,,17.21,6970,,,,published typical config — verify per tail
"AeroDynamic Jets, LLC",N125CD,Citation CJ3,Light Jet,Turbine,,7,KPVU,,415,1800,2000,13870,FET applies,Airstair,24,51,15.7,4.8,4.8,290,,,17.21,6970,,,,published typical config — verify per tail
AERY AVIATION LLC,N340SR,Lear 45,Light Jet,Turbine,Pax,8,KCLE,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
AERY AVIATION LLC,N632JS,Lear 45,Light Jet,Turbine,Pax,8,KCLE,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
AERY AVIATION LLC,N972PF,Hawker,Midsize Jet,Turbine,Pax,8,KCLE,,430,2500,2200,28000,FET applies,Airstair,27,51,21.3,6,5.7,600,,,,,,,,published typical config — verify per tail
AERY AVIATION LLC,N331SB,Cirrus Vision SF50,Light Jet,Turbine,Pax,5,KCLE,,300,1100,1100,6000,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Clamshell,25,49,10.8,5.1,4.1,180,,,,,,,SINGLE-ENGINE jet — excluded by any multi-engine-only client rule.,published typical config — verify per tail
"Air Reldan, Inc. - Neil",N427DM,King Air 90,Turboprop,Multi Turboprop,,6,KBTR,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,8.97,2018,,,,published typical config — verify per tail
"Air Reldan, Inc. - Neil",N401MC,King Air 90,Turboprop,Multi Turboprop,,6,KBTR,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,8.97,2018,,,,published typical config — verify per tail
"Air Reldan, Inc. - Neil",N8350Z,Piper Seneca,Piston,Multi Piston,,6,KBTR,,160,750,1200,4750,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Door + aft cargo,25,41,10.3,4.1,3.9,120,,,10.78,1725,,,,published typical config — verify per tail
"Air Travel Management, LLC",N330DK,Citation 550,Light Jet,Turbine,,7,KPIT,,400,1500,1800,13300,FET applies,Airstair,24,51,15.8,4.8,4.7,280,,,,,,,,published typical config — verify per tail
"Air Travel Management, LLC",N24CK,Piper Navajo C/R,Piston,Multi Piston,,7,KPIT,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,,,,,,published typical config — verify per tail
"Air Travel Management, LLC",N39EH,Piper Navajo C/R,Piston,Multi Piston,,7,KPIT,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,,,,,,published typical config — verify per tail
"Air Travel Management, LLC",N195AA,Piper Navajo C/R,Piston,Multi Piston,,7,KPIT,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,,,,,,published typical config — verify per tail
AIR Z FLYING SERVICE (Larry),N1908G,C310,Piston,Multi Piston,,4,KCGF,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,4,6.62,6.47,1164,,,,published typical config — verify per tail
AIR Z FLYING SERVICE (Larry),N3938G,C340,Piston,Multi Piston,,4,KCGF,,195,1100,1200,5990,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Airstair,24,46,12.4,3.9,4.1,125,,,6.86,1338,,,,published typical config — verify per tail
AIR Z FLYING SERVICE (Larry),N8188J,Saratoga,Piston,Single Piston,,5,KCGF,,150,750,1100,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Door + aft cargo,27,41,10.4,4.1,3.9,110,,,4.56,684,,,,published typical config — verify per tail
AirNet II LLC,N355CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N35WL,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N76CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N163CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N217CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N220CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N264CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N290CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N295CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N352CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N353CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N354CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N359CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N644CK,Lear 35a,Light Jet,Turbine,Cargo,,KCMH,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
AirNet II LLC,N581CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
AirNet II LLC,N583CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
AirNet II LLC,N584CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
AirNet II LLC,N586CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
AirNet II LLC,N587CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
AirNet II LLC,N588CK,Baron 58,Piston,Multi Piston,Cargo,,KCMH,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
Alpha Three Aviation Incorporated,N690SC,King Air 200,Turboprop,Multi Turboprop,,8,KPIT,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Alpha Three Aviation Incorporated,N282EA,Baron 58,Piston,Multi Piston,,5,KPIT,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
"American Jet Charter, Inc.",N2333B,Baron 58,Piston,Multi Piston,Pax,5,KPWA,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
"American Jet Charter, Inc.",N48W,King Air 90,Turboprop,Multi Turboprop,Pax,6,KPWA,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
"American Jet Charter, Inc.",N906TW,King Air 300,Turboprop,Multi Turboprop,Pax,8,KPWA,,300,1800,2600,14000,FET applies,Airstair,27,52,16.7,4.5,4.8,303,,,,,,,,published typical config — verify per tail
"American Jet Charter, Inc.",N13092,Citation XLS,Midsize Jet,Turbine,Pax,8,KPWA,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
"American Jet Charter, Inc.",N253SC,Lear 45,Light Jet,Turbine,Pax,8,KPWA,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Ameriflight,N189WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N191WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N802BA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N20FW,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N21FW,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N34AK,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N1924T,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N7862R,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N192WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N197WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N4299A,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N51RP,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N52RP,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N68TA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N96AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N104BE,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N106SX,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N108SX,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N131GP,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N174AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N190WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N191AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N193SU,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N196WA,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N204AF,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N206AV,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
Ameriflight,N221BH,Beech 99,Turboprop,Multi Turboprop,Cargo,,,,220,900,4000,10900,FET applies,Airstair + cargo door,45,53,25.3,4.5,4.8,380,,,,,,,,published typical config — verify per tail
