Type,Base ICAO,Base Label,Base Notes,Call Order,Company,Operator Base,Region,24hr Phone,Backup Phone,Company Number,Additional Phones,Extra Contacts,Primary Contact,Contact Phone,Contact Email,General Email,Billing Email,Website,Pax,Cargo,Hazmat,Medivac,24hr Ops,Call-Out Time,Argus,Wyvern,Usefulness,Approval Tier,Aircraft Locations (tails @ base),Fleet Types,Priority Notes,Operator Notes
BASE,KCAK,PSA - Akron-Canton,
  call,KCAK,PSA - Akron-Canton,,1,Castle Aviation,KCAK,,(800) 325-4703 Ext 1,,(800) 325-4703 Ext 1,,24/7: (800) 325-4703 Ext 1,,,,fltops@castleair.com,,,yes,yes,yes,yes,yes,2Hrs,,,8,approved,N49MG Aerostar @ KCAK | N52MG Aerostar @ KCAK | N92MG Aerostar @ KCAK | N1058N Cessna Caravan @ KCAK | N27MG Cessna Caravan @ KCAK | N805TH Cessna Caravan @ KCAK | N1086F Cessna Caravan @ KCAK | N1116W Cessna Caravan @ KCAK | N9612B Cessna Caravan @ KCAK | N253AE SAAB 340 @ KCAK | N336SA SAAB 340 @ KCAK | N431BC SAAB 340 @ KCAK,Aerostar | Cessna Caravan | SAAB 340,,"NEED PAX Weight, DOB, and Names every flight (Request from client Immediately)"
  call,KCAK,PSA - Akron-Canton,,2,"Sonrise Aviation, LLC",KPLD,,(260) 766-4548,,(260) 766-4548,,24/7 Dispatch: (260) 766-4548 | Text Number: (260) 726-5029 | Owner - Hal: (260) 729-1577 | Pilot - Casey: (567) 644-8015 | Pilot - Jake Hodory: (815) 245-7708 | Pilot - Joey: (765) 271-8410 | Pilot - Payton McCoy: (765) 215-5307 | Pilot - Samuel: (937) 621-3332,,,,sonriseaviation@outlook.com,,,yes,yes,yes,yes,yes,1.5Hrs,,,10,approved,N98DM Cessna 310 @ KPLD | N2738B Cessna 310 @ KPLD | N3284M Cessna 310 @ KPLD | N4258C Cessna 310 @ KPLD | N80BS Cessna 404 @ KPLD | N103RC Cessna 404 @ KPLD,Cessna 310 | Cessna 404,,"Matt and Amy are dispatch - easy to work with good emergency contacts - 404's do big stuff pretty well, 310's have range"
  call,KCAK,PSA - Akron-Canton,,3,Miller Aviation,KHHG,,(260)827-8267,,(260) 726-4901,,24/7: (260) 726-4901 | Scott - Owner/Dispatcher/Pilot: (765) 418-3933 | Carrie - Dispatch: (260) 827-8267 | Pilot - Braxton: (765) 667-9810 | Pilot - Michael: (901) 288-6531 | Pilot - Thomas: (918) 782-7655 | Pilot - Tim: (260) 504-8185,,,,carriem@patriot-aviation.com,,,yes,yes,yes,yes,yes,1.5Hrs,,,9,approved,N5336C Cessna 310 @ KHHG | N6209X Cessna 310 @ KHHG,Cessna 310,,Carrie and Scott handle dispatch - great to work with
  call,KCAK,PSA - Akron-Canton,,4,AIR Z FLYING SERVICE (Larry),KCGF,,440-725-3043,,440-725-3043,,24/7 - Larry: 440 725-3043 | Pilot - Mike: 216 256-4609 | Lisa (Larry's Wife): 712 490-2994,,,,admin@tandgflying.com,,,yes,yes,yes,yes,yes,2Hrs,,,9,approved,N1908G C310 @ KCGF | N3938G C340 @ KCGF | N8188J Saratoga @ KCGF,C310 | C340 | Saratoga,,We try to avoid using him and night time requires two pilots for us with them
  call,KCAK,PSA - Akron-Canton,,5,Trans North Aviation,KAID,,,,,,Derek - Owner: 937 823-7423 | Other Dispatch Line: 800-735-8190,,937 823-7423,,dereck.pristas@transnorthaviation.com,,,yes,yes,yes,yes,no,,,,8,approved,N742LG SR-22 @ KAID | N907DK Cessna Citation @ KAID | N1327J Cessna Citation @ KAID | N89TB Lear 35a @ KAID,SR-22 | Cessna Citation | Lear 35a,,These guys are down to get shit done
  call,KCAK,PSA - Akron-Canton,,6,Axio,KSPA,,,,,,Main/Texting: (864) 397-5082 | Dispatch - Matt: (864) 608-0141 | Dispatch - Sam: (336) 602-5126 | Dispatch - Zach: (772) 258-0209,,(864) 397-5082,,sales@flyaxio.com,,,yes,yes,yes,yes,yes,2,,,9,approved,N533CP SR-22 @ KSPA | N606MF SR-22 @ KSPA | N369AX Phenom 100 @ KSPA | N283MA Baron 58 @ KSPA | N707PW Baron 58 @ KSPA | N758CA Baron 58 @ KSPA | N4380W Baron 58 @ KSPA | N6725T Baron 58 @ KSPA | N789CT King Air 200 @ KSPA | N34LT King Air 200 @ KSPA | N989LA King Air 200 @ KSPA,SR-22 | Phenom 100 | Baron 58 | King Air 200,,
  call,KCAK,PSA - Akron-Canton,,7,FedAir (Mario),KHFY,,(252) 349-5657,,,,24/7 - Mario/Pilot: (252) 349-5657,,(252) 349-5657,,mario@fedaircharter.com,,,yes,yes,yes,yes,yes,2Hrs,,,7,approved,,Cheyenne,,MARIO Always Expensive but reliable and quick! Great Operator
  call,KCAK,PSA - Akron-Canton,,8,Priority Air Charter LLC,"Cleveland, OH",Midwest,,,,,Phone: 877 698-4604 | Local/Cell: 330 698-4604,,877 698-4604,,dispatch@flypac.net,,,no,yes,yes,no,no,,,,5,approved,"N812PA PC-12 @ Cleveland, OH | N814PA PC-12 @ Cleveland, OH | N179SA Cessna 208B Grand Caravan @ Cleveland, OH | N702PA Cessna 208B Grand Caravan @ Cleveland, OH",PC-12 | Cessna 208B Grand Caravan,,Cargo Only No PAX
  call,KCAK,PSA - Akron-Canton,,9,"Air Travel Management, LLC","Pittsburgh, PA",Northeast,(573) 231-9493,,,,Dispatch: (304) 276-4359 | 24/7 - Terri: (573) 231-9493,,(304) 276-4359,,terri@flyavnet.com,,,yes,yes,yes,yes,yes,,,,5,approved,"N330DK Citation 550 @ Pittsburgh, PA | N24CK Piper Navajo C/R @ Pittsburgh, PA | N39EH Piper Navajo C/R @ Pittsburgh, PA | N195AA Piper Navajo C/R @ Pittsburgh, PA",Citation 550 | Piper Navajo C/R,,
  call,KCAK,PSA - Akron-Canton,,10,AERY AVIATION LLC,KCLE,Southeast,(833) 240-9007,,,,24/7 Dispatch: (833) 240-9007,,(833) 240-9007,,Aerydispatch@aeryaviation.com,,https://aeryaviation.com/,yes,no,no,yes,yes,,,,5,approved,N340SR Lear 45 @ KCLE | N632JS Lear 45 @ KCLE | N972PF Hawker @ KCLE | N331SB Cirrus Vision SF50 @ KCLE,Lear 45 | Hawker | Cirrus Vision SF50,,Expensive but does a lot f medivac for cleveland clinic
  call,KCAK,PSA - Akron-Canton,,11,Alpha Three Aviation Incorporated,"Pittsburgh, PA",Northeast,,,,,Andy - Owner/Pilot: (724) 321-6309,,(724) 321-6309,,,,,yes,yes,no,no,no,,,,5,approved,"N690SC King Air 200 @ Pittsburgh, PA | N282EA Baron 58 @ Pittsburgh, PA",King Air 200 | Baron 58,,
  call,KCAK,PSA - Akron-Canton,,12,AirNet II LLC,"Columbus, OH",Midwest,,,,,Dispatch: (877) 293-8463,,(877) 293-8463,,cargocharters@airnet.com,,,no,yes,yes,no,no,,,,5,approved,"N355CK Lear 35a @ Columbus, OH | N35WL Lear 35a @ Columbus, OH | N76CK Lear 35a @ Columbus, OH | N163CK Lear 35a @ Columbus, OH | N217CK Lear 35a @ Columbus, OH | N220CK Lear 35a @ Columbus, OH | N264CK Lear 35a @ Columbus, OH | N290CK Lear 35a @ Columbus, OH | N295CK Lear 35a @ Columbus, OH | N352CK Lear 35a @ Columbus, OH | N353CK Lear 35a @ Columbus, OH | N354CK Lear 35a @ Columbus, OH | N359CK Lear 35a @ Columbus, OH | N644CK Lear 35a @ Columbus, OH | N581CK Baron 58 @ Columbus, OH | N583CK Baron 58 @ Columbus, OH | N584CK Baron 58 @ Columbus, OH | N586CK Baron 58 @ Columbus, OH | N587CK Baron 58 @ Columbus, OH | N588CK Baron 58 @ Columbus, OH",Lear 35a | Baron 58,,Cargo Only!
