Source,Date,PO,Client,Route,Aircraft,Tail,Operator,Pay Terms,Client Invoiced,Operator Paid,Margin,Funded By,Deposited To,Check/Deposit #,Jonny Profits,Jonny Invested,Jonny Owed,Jonny Returned,Client Paid?,OnFly Paid?,Investor Paid?,Operator Paid?,Bill in QB?,Referral,Referral Paid?
Live,2026-08-15,PO #00355,PSA Airlines,KDAY → KMCI,C310,N4358C,"Sonrise Aviation, LLC",Net 30,8100.0,6325.0,1775.0,Jonny 1%,,,63.25,6325.0,6388.25,0.0,No,No,No,No,No,,No
Live,2026-08-13,PO #VG081303,Piedmont Airlines,KROA → KHSV,King Air 90,N643EA,EXECUTIVE SHUTTLE,Net 30,8500.0,7341.03,1158.97,Jonny 1%,,,73.41,7341.03,7414.44,0.0,No,No,No,Yes,No,,No
Live,2026-08-13,PO #VG081207,Piedmont Airlines,KCLT → KHSV,Barron,N4380W,Axio,Net 30,5900.0,4528.0,1372.0,Jonny 1%,,,45.28,4528.0,4573.28,0.0,No,No,No,Yes,No,,No
Live,2026-08-12,PO #00354,PSA Airlines,KCVG → KMSN,C310,N6209X,Miller Aviation,Net 30,6600.0,4400.0,2200.0,Jonny 1%,,,44.0,4400.0,4444.0,0.0,No,No,No,No,No,,No
Live,2026-08-12,PO #00353,PSA Airlines,KCAK → KBDL,Aerostar,N52MG,"CASTLE AIR CHARTERS, LTD",Net 30,6100.0,4000.0,2100.0,Jonny 1%,,,40.0,4000.0,4040.0,0.0,No,No,No,Yes,No,,No
Live,2026-08-11,PO #00352,PSA Airlines,KCAK → KSHV,King Air 90,N643EA,EXECUTIVE SHUTTLE,Net 30,15100.0,12718.1,2381.9,Jonny 1%,,,127.18,12718.1,12845.28,0.0,No,No,No,Yes,No,,No
Live,2026-08-07,PO #00351,PSA Airlines,KCAK → KBGR,C310,N6209X,Miller Aviation,Net 30,10800.0,9309.53,1490.47,Jonny 1%,,,93.1,9309.53,9402.63,0.0,No,No,No,Yes,No,,No
Live,2026-08-06,PO #00350,PSA Airlines,KGSP → CYYZ,King Air 90,N643EA,EXECUTIVE SHUTTLE,Net 30,13250.0,11812.28,1437.72,Jonny 1%,,,118.12,11812.28,11930.4,0.0,No,No,No,Yes,No,,No
Live,2026-08-06,PO #VG080507,Piedmont Airlines,KROA → KFWA,C310,N6209X,Miller Aviation,Net 30,6800.0,5400.0,1400.0,Jonny 1%,,,54.0,5400.0,5454.0,0.0,No,No,No,Yes,No,,No
Live,2026-08-01,PO #00349,PSA Airlines,KDFW → KHRL,Mitsubishi MU2,N175CA,OK Air 1st,Net 30,13900.0,13075.0,825.0,Jonny 1%,,,130.75,13075.0,13205.75,0.0,No,No,No,Yes,No,,No
Live,2026-07-30,PO #00347,PSA Airlines,KCLT → KCVG → KMHT,Baron 58,N283MA,Axio,Net 30,12850.0,11084.0,1766.0,Jonny 1%,,,110.84,11084.0,11194.84,0.0,No,No,No,Yes,No,,No
Live,2026-07-30,PO #00348,PSA Airlines,KORF → KMHT,C310,N15TV,"ACE TRANSPORT SERVICE, INC.",Net 30,10200.0,8859.0,1341.0,Jonny 1%,,,88.59,8859.0,8947.59,0.0,No,No,No,Yes,No,,No
Live,2026-07-28,PO #00346,PSA Airlines,KNQA → KDFW,MU2,N175CA,AIR 1ST AVIATION COMPANIES OF OKLAHOMA INC,Net 30,10600.0,9600.0,1000.0,Jonny 1%,,,96.0,9600.0,9696.0,0.0,No,No,No,Yes,No,,No
Live,2026-07-27,PO #00345,PSA Airlines,KDAY → KMSP,CJ1,N127MJ,Zanesville Aviation,Net 30,4000.0,4000.0,0.0,Jonny 1%,,,40.0,4000.0,4040.0,0.0,No,No,No,Yes,No,,No
Live,2026-07-25,PO #00344,PSA Airlines,KDAY → KDSM,Barron,N758CA,Axio,Net 30,11000.0,9890.0,1110.0,Jonny 1%,,,98.9,9890.0,9988.9,0.0,No,No,No,Yes,No,,No
Live,2026-07-25,PO #00343,PSA Airlines,KCAK → KPVD,C310,N4258C & N5336C,"Sonrise Aviation, LLC",Net 30,16000.0,14572.0,1428.0,Jonny 1%,,,145.72,14572.0,14717.72,0.0,No,No,No,Yes,No,,No
Live,2026-07-25,PO #00342,PSA Airlines,KCVG → KMEM,MU2,N175CA,OK Air 1st,Net 30,14700.0,13300.0,1400.0,Jonny 1%,,,133.0,13300.0,13433.0,0.0,No,No,No,Yes,No,,No
Live,2026-07-24,PO #00341,PSA Airlines,KCAK → KMKE,King Air 90,N643EA,EXECUTIVE SHUTTLE,Net 30,12300.0,10526.25,1773.75,Jonny 1%,,,105.26,10526.25,10631.51,0.0,No,No,No,Yes,No,,No
Live,2026-07-19,PO #00340,PSA Airlines,KPNS → KDFW,MU2,N175CA,AIR 1ST AVIATION COMPANIES OF OKLAHOMA INC,Net 30,15000.0,13900.0,1100.0,Jonny 1%,OFA Biz Acct,PSA ACH #405017,139.0,13900.0,0.0,14039.0,Yes,No,Yes,Yes,No,,No
